DATA,DESCRICAO,DOCUMENTO,CREDITO,DEBITO,SALDO,BANCO,CONTA,SUBCONTA,FILE_PATH
2024-01-02,PAGAMENTO BOLETO PACKPAR EMBALAGENS,,0.0,196.56,7087.8,INTER,Despesa com produtos,Materiais de Consumo,../data/raw/BANCO INTER-2024.xlsx
2024-01-02,PIX RECEBIDO CLEYTON GALEGO SOCIEDADE I. ADVOCACIA,,3700.0,0.0,10787.8,INTER,Receita de vendas,Outras vendas,../data/raw/BANCO INTER-2024.xlsx
2024-01-03,PIX RECEBIDO FERNANDA SARAIVA E SILVA,,40.0,0.0,10827.8,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-03,PIX RECEBIDO LEONARDO JOSE SIQUEIRA CASTILHOS,,380.0,0.0,11207.8,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-03,PIX ENVIADO GOVERNO DO PARANA SECRETARIA DE ESTADO - GRPR,,0.0,787.86,10419.94,INTER,Despesas tributárias ,Outras,../data/raw/BANCO INTER-2024.xlsx
2024-01-03,PIX RECEBIDO LEONARDO JOSE SIQUEIRA CASTILHOS,,35.0,0.0,10454.94,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-04,TED RECEBIDA LIANGZHONG HU,,365.0,0.0,10819.94,INTER,Receita com serviços,Outras,../data/raw/BANCO INTER-2024.xlsx
2024-01-04,PIX RECEBIDO INGRID ELIZABETH BUSCHLE,,237.5,0.0,11057.44,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-05,PIX ENVIADO THIAGO IANUCH MARIN,,0.0,1603.3,9454.14,INTER,Despesa com serviços,Outras,../data/raw/BANCO INTER-2024.xlsx
2024-01-05,PIX ENVIADO LUIZ GUILHERME KRAUSE,,0.0,1329.66,8124.48,INTER,Despesa com serviços,Outras,../data/raw/BANCO INTER-2024.xlsx
2024-01-05,PIX ENVIADO SILVIA-CONTABILIDADE HONORÁRIOS,,0.0,812.0,7312.48,INTER,Despesas administrativas,Contabilidade,../data/raw/BANCO INTER-2024.xlsx
2024-01-05,PIX ENVIADO CLAUDIO - PRO-LABORE,,0.0,1335.0,5977.48,INTER,Despesa com pessoal,Pró labore,../data/raw/BANCO INTER-2024.xlsx
2024-01-05,PIX ENVIADO ELISABETE - PRO-LABORE,,0.0,1335.0,4642.48,INTER,Despesa com pessoal,Pró labore,../data/raw/BANCO INTER-2024.xlsx
2024-01-08,PIX RECEBIDO ACRICIO LOPES CANCADO FILHO,,440.0,0.0,5082.48,INTER,Receita com serviços,Manutenção s/ Garantia,../data/raw/BANCO INTER-2024.xlsx
2024-01-08,PAGAMENTO BOLETO CIEE - ESTAGIÁRIOS,,0.0,1374.69,3707.79,INTER,Despesa com pessoal,Salário,../data/raw/BANCO INTER-2024.xlsx
2024-01-08,PAGAMENTO BOLETO SPRINGER CARRIER,,0.0,371.29,3336.5,INTER,Despesa com serviços,Peças,../data/raw/BANCO INTER-2024.xlsx
